Date,Open,High,Low,Close,Volume,Year,Month,DayOfWeek,Quarter,WeekOfYear,Daily_Return,Log_Return,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Pct,ATR_14,Volume_SMA_20,Volume_Ratio
2023-10-31,19232.94921875,19233.69921875,19056.44921875,19079.599609375,206000,2023,10,1,4,44,-0.3202606982899536,-0.003207746304394414,19481.66494140625,19576.01703125,18624.717568359374,19297.491744044637,19455.66570825525,37.18005370913438,-158.1739642106113,-90.66456023558112,-67.50940397503018,20050.52783894982,19481.66494140625,18912.802043862677,0.05839982355250475,0.14660612094107187,181.726724893884,212420.0,0.969776857169758
2023-11-01,19064.05078125,19096.05078125,18973.69921875,18989.150390625,194100,2023,11,2,4,44,-0.4740624572936891,-0.004751896973195711,19454.6849609375,19569.59703125,18629.15732421875,19250.054612749307,19421.109018060415,35.050686375531896,-171.05440531110798,-106.74252925068649,-64.3118760604215,20061.944406985876,19454.6849609375,18847.42551488912,0.062428093517595026,0.11669219528664909,177.48564186574944,211040.0,0.9197308567096285
2023-11-02,19120.0,19175.25,19064.150390625,19133.25,245600,2023,11,3,4,44,0.7588523257266999,0.007559875254064636,19439.54248046875,19564.3900390625,18635.252822265626,19232.084672326335,19399.78612783372,40.86170223898416,-167.7014555073838,-118.93431450202596,-48.76714100535784,20062.793521157837,19439.54248046875,18816.291439779663,0.06412198654523667,0.2542784043087173,178.10092525926734,209465.0,1.1725109206788724
2023-11-03,19241.0,19276.25,19210.900390625,19230.599609375,189500,2023,11,4,4,44,0.5087980838331285,0.005075080802081226,19423.7849609375,19561.073046875,18641.92732421875,19231.85620110305,19387.253793133073,44.47592502953858,-155.39759203002177,-126.22697000762513,-29.170622022396643,20051.418675191366,19423.7849609375,18796.151246683636,0.0646252741693833,0.34610024352168467,175.59371631217684,207195.0,0.9145973599749029
2023-11-06,19345.849609375,19423.0,19309.69921875,19411.75,180700,2023,11,0,4,45,0.941990339899168,0.009375812778954773,19411.6974609375,19560.428046875,18649.695078125,19259.532170164122,19389.06832697507,50.53409935873308,-129.53615681094743,-126.8888073682896,-2.647349442657827,20030.417766783165,19411.6974609375,18792.977155091834,0.06374716143095956,0.5000424578456568,176.79419304880707,208275.0,0.8676029288200696
2023-11-07,19404.05078125,19423.5,19329.099609375,19406.69921875,198700,2023,11,1,4,45,-0.026019195847870602,-0.0002602258142791332,19406.41494140625,19560.828046875,18656.945576171875,19282.17325456195,19390.3743189584,50.36908245193535,-108.20106439644951,-123.1512587739216,14.950194377472087,20023.409286844955,19406.41494140625,18789.420595967542,0.0635866384699695,0.5002303727301984,170.90892144710656,209955.0,0.9463932747493511
2023-11-08,19449.599609375,19464.400390625,19401.5,19443.5,195000,2023,11,2,4,45,0.18962926582819506,0.0018944969651071763,19394.0974609375,19564.38203125,18664.688828125,19306.99275386011,19394.30955459111,51.6089968403276,-87.31680073099778,-115.98436716533685,28.667566434339065,19997.656206310156,19394.0974609375,18790.538715564846,0.06224148832791099,0.5409260402912368,163.19402638838466,208875.0,0.933572710951526
2023-11-09,19457.400390625,19463.900390625,19378.349609375,19395.30078125,208400,2023,11,3,4,45,-0.24789373698150818,-0.0024820150223140987,19373.29501953125,19566.16703125,18671.398828125,19320.578604227787,19394.382978788064,49.85231789919655,-73.80437456027721,-107.54836864432492,33.74399408404771,19945.774374060984,19373.29501953125,18800.81566500152,0.05909984377490619,0.5192196989678566,157.64808030707147,208610.0,0.998993336848665
2023-11-10,19351.849609375,19451.30078125,19329.44921875,19425.349609375,152200,2023,11,4,4,45,0.1549283945833313,0.0015480850435944918,19354.8625,19567.821015625,18677.698828125,19336.697220404283,19396.676803275986,50.97272778531299,-59.979582871703315,-98.03461148980061,38.055028618097296,19894.785624346616,19354.8625,18814.939375653383,0.05579198760483228,0.565275134733579,155.09118617799496,205325.0,0.741263849993912
2023-11-13,19486.75,19494.400390625,19414.75,19443.55078125,189300,2023,11,0,4,46,0.09369804014345284,0.0009365417093074231,19339.4875,19569.743046875,18684.377333984376,19353.13622976516,19400.14894979258,51.67699344098081,-47.012720027418254,-87.83023319732415,40.817513169905894,19850.125834940158,19339.4875,18828.84916505984,0.052807845599854554,0.6018952888272635,149.70255792420963,202040.0,0.9369431795684023
